,Unnamed: 0,mapping,epap,user,meaning,meaning_status,similarity
0,0,False,False,n,False,False,0.0
1,1,True,True,delete the whole branch with condition c,"Delete the branch following the gateway with condition ""c"".
",True,1.0
2,2,True,False,delete the c condition,"NA
",True,0.8639511564686483
3,3,True,True,"branch option c, along with all its tasks should be removed","Delete branch ""option c"".
",True,1.0
4,4,True,True,"In the new model, condition c, task E and task F should be deleted.","Remove condition c, task E, and task F.
",True,1.0
5,5,True,True,"Eliminate the branch that contains task E and task F. Ignore the possibility that task A can return ""c"". ","Remove the branch with tasks E and F following task A, leaving only the branch with tasks B, C, and D.
",True,1.0
6,6,True,False,Delete condition c from the model,"Remove condition c.
",True,1.0
7,7,True,True,In the input process model there are three pathways in the or-gate. Fully remove the path labeled with 'c' and all the tasks it consists of. The resulting output process model therefore only has the two paths 'a' and 'b' in the or-gate.,"Delete the branch 'c' of the OR gateway.
",True,1.0
8,8,True,False,Remove option c of the or condition,"NA
",True,0.8639511564686483
9,9,True,True,Remove Case if status after task A is „c“. We do not need the condition for c including all the task that would have been done exclusively there.,"Remove the branch related to the condition ""c"" following task A, including all tasks exclusively within that branch.
",True,1.0
10,10,True,True,delete path c and its tasks from the model,"Delete branch ""c"" and all its containing elements.
",True,1.0
11,11,True,False,"Add an alternate path for reaching X that is checking if X returns c. If X returns C, then move to task E and task F and finally the second X consequently. ","NA
",True,0.8639511564686483
12,12,True,True,delete condition c and resulting tasks for first xor gate,"Delete the outgoing sequence flow from the first exclusive gateway with the condition ""c"" and the tasks succeeding that flow.
",True,1.0
13,13,True,True,remove option c ,"Delete Entire Branch ""c""
",True,1.0
14,14,True,True,Please remove the condition case c including task E and task F,"NA
",True,0.8639511564686483
15,15,True,True,Branch c was removed,"Remove branch ""c"".
",True,1.0
16,16,True,True,delete the c Case in the OR Gateway,"Delete the branch of the OR gateway that corresponds to the ""c Case"".
",True,1.0
17,17,True,False,"Remove the transitions 'task E', 'task F' and their corresponding edges, including the edges annotations. ","Remove tasks E and F.
",True,0.9778256852479212
18,18,True,True,Remove the path for choice = c,"Delete the branch where the condition evaluates to ""c"".
",True,1.0
19,19,True,True,in the xor please remove the branch with the condition c from the model,"Remove the branch with condition 'c' from the XOR gateway.
",True,1.0
20,20,True,True,remove alternative branch containing tasks E and F (no replacement by empty branch),"Delete the branch of the process containing tasks E and F.
",True,1.0
21,21,True,True,please remove the branch for the xor gateway where condition is c and followed by task E and task F.,"Remove the branch with condition 'c', task 'E', and task 'F' following the XOR gateway.
",True,1.0
22,22,True,True,Remove case c of the condition as well as task E & F,"NA
",True,0.8639511564686483
23,23,True,True,Removing option c,"NA
",True,0.8639511564686483
24,24,False,False,.,False,False,0.0
25,25,True,True,Remove the condition c branch in the XOR fragment. ,"Remove the branch with condition ""c"" from the exclusive gateway.
",True,1.0
26,26,True,False,"Add a new branch in the exclusive gateway, this one should be executed if it's case ""c"". In that case tasks with labels ""task E"" and ""task F"" should be executed.","Add a new conditional flow to an exclusive gateway, leading to a sequence of two new tasks named ""Task E"" and ""Task F"". The condition for this flow is ""c"".
",True,0.8639511564686483
27,27,True,False,"add another branch to the XOR. the branch is taken when the condition is c and it has two tasks: first E, followed by F.","Add a new conditional branch to the exclusive gateway with condition 'c'. This branch consists of two sequential tasks: 'E' followed by 'F'.
",True,0.8639511564686483
28,28,True,True,remove path c from the the exclusive gateway,"Delete the branch originating from the exclusive gateway labeled with condition 'c'.
",True,1.0
29,29,True,True,Remove path c.,"Delete the branch of the gateway that corresponds to path 'c'.
",True,1.0
30,30,True,True,Please remove branch c including Task E and F,"Delete branch with Task E and Task F.
",True,1.0
31,31,True,False,"Insert a third condition ""c"" for the first XOR gateway that includes two sequential tasks ""task E"" followed by ""task F"". This sequence flow terminates in the second XOR gateway.","Add a new conditional flow to an exclusive gateway, leading to a sequence of two new tasks (""Task E"" and ""Task F""), which then flows into a merging exclusive gateway.
",True,0.7641425542102744
32,32,True,True,"Remove branch with label ""c"" from the diagram.","Remove the branch labeled ""c"".
",True,1.0
33,33,True,True,Remove the sequencen completely related to condition c being met,"NA
",True,0.8639511564686483
34,34,True,True,Remove branch c,"Delete the branch originating from gateway 'c'.
",True,1.0
35,35,True,True,Remove the path for the case of parameter c ,"NA
",True,0.8639511564686483
36,36,True,False,"the tasks e and f are removed, it means there are only 2 conditions now, instead of 3","Remove tasks ""e"" and ""f"" and reduce the number of outgoing branches from a gateway from three to two.
",True,1.0
37,37,True,False,"remove subtask e and f, also the conditional check for c ","Remove subtasks ""e"" and ""f"", and remove the conditional check related to subtask ""c"".
",True,0.9778256852479212
38,38,False,False,I don't know. ,False,False,0.0
39,39,True,True,remove option c and the path completely,"Delete Entire Branch.
",True,1.0
40,40,True,True,Path c (excluding task E and F) is removed. Only a and b are considered.,"Delete Entire Branch. Remove the branch containing tasks E and F, leaving only the branch with tasks A and B.
",True,1.0
41,41,True,True,delete the path in the exclusive gateway which would happen for c,"Remove the outgoing sequence flow from the exclusive gateway with the condition ""c"".
",True,1.0
42,42,True,False,Please remove the condition c from the exclusive gateway.,"Remove condition c from the exclusive gateway.
",True,1.0
43,43,True,False,And an third option c with task E and F ending the same option ,"NA
",True,0.8639511564686483
44,44,True,True,"Our model currently includes two exclusive gateway nodes. the first exclusive gateway node connected to task A will hereinafter be reffered to as ""eg1"" while the second exclusive gateway node connected by task B as its true statement and task C and task F statement will hereinafter be referred to as ""eg2"". 
Delete task E and task F from both exclusive gateway nodes. ","Remove task E from the exclusive gateway eg1, and remove tasks F and C from the exclusive gateway eg2.
",True,1.0
45,45,True,True,Remove selection path c and states E and F ,"Delete Entire Branch C including activities E and F
",True,1.0
46,46,True,True,Delete the situation c,"NA
",True,0.8639511564686483
47,47,True,False,Remove task E and task F and their repective control flow,"Remove task E, task F, and the sequence flow connecting them.
",True,0.9778256852479212
48,48,True,True,Remove the c Route in the conditional Split ,"Delete the branch of the conditional split gateway that corresponds to the ""c Route"".
",True,1.0
49,49,True,True,remove option c from the first X,"NA
",True,0.8639511564686483
50,50,True,True,remove the path for c at the exclusive gateway,"Delete the branch of the exclusive gateway that corresponds to condition 'c'.
",True,1.0
51,51,True,True,remove the c branch.,"Delete the branch originating from gateway 'c'.
",True,1.0
52,52,True,True,Remove The Branch with condition C from The XOR block,"Delete the branch following the exclusive gateway with condition C.
",True,1.0
53,53,True,True,remove the case c including the task E and task F,"Delete Entire Branch including Task E and Task F from gateway.
",True,1.0
